2025-09-20 23:28:59 - api_requests - INFO - log_api_request:158 - API Request - GET /health | Status: 200 | Response Time: 0.013s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.6584
2025-09-20 23:29:08 - api_requests - INFO - log_api_request:158 - API Request - POST /plan | Status: 200 | Response Time: 0.008s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.6584
2025-09-20 23:29:18 - api_requests - INFO - log_api_request:158 - API Request - GET / | Status: 200 | Response Time: 0.010s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-20 23:29:18 - api_requests - INFO - log_api_request:158 - API Request - GET /plans | Status: 200 | Response Time: 0.013s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-20 23:31:35 - api_requests - INFO - log_api_request:158 - API Request - GET /health | Status: 200 | Response Time: 0.008s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.6584
2025-09-20 23:32:07 - api_requests - INFO - log_api_request:158 - API Request - GET / | Status: 200 | Response Time: 0.006s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-20 23:32:07 - api_requests - INFO - log_api_request:158 - API Request - GET /plans | Status: 200 | Response Time: 0.005s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-20 23:32:08 - api_requests - INFO - log_api_request:158 - API Request - GET / | Status: 200 | Response Time: 0.003s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-20 23:32:08 - api_requests - INFO - log_api_request:158 - API Request - GET /plans | Status: 200 | Response Time: 0.006s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
2025-09-20 23:32:08 - api_requests - INFO - log_api_request:158 - API Request - GET / | Status: 200 | Response Time: 0.001s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0
